clipmidtex;bool
comment;string
light;int
light_bottom;int
light_mid;int
light_top;int
lightabsolute;bool
lightabsolute_bottom;bool
lightabsolute_mid;bool
lightabsolute_top;bool
lightfog;bool
nofakecontrast;bool
offsetx;int
offsetx_bottom;float
offsetx_mid;float
offsetx_top;float
offsety;int
offsety_bottom;float
offsety_mid;float
offsety_top;float
scalex_bottom;float
scalex_mid;float
scalex_top;float
scaley_bottom;float
scaley_mid;float
scaley_top;float
sector;int
smoothlighting;bool
texturebottom;string
texturemiddle;string
texturetop;string
wrapmidtex;bool
