alphaceiling;float
alphafloor;float
ceiling_reflect;float
ceilingglowcolor;int
ceilingglowheight;float
ceilingplane_a;float
ceilingplane_b;float
ceilingplane_c;float
ceilingplane_d;float
ceilingterrain;string
color_ceiling;int
color_floor;int
color_sprites;int
color_wallbottom;int
color_walltop;int
coloradd_ceiling;int
coloradd_floor;int
coloradd_sprites;int
coloradd_walls;int
colorization_ceiling;int
colorization_floor;int
comment;string
damageamount;int
damagehazard;bool
damageinterval;int
damageterraineffect;bool
damagetype;string
desaturation;float
dropactors;bool
fadecolor;int
floor_reflect;float
floorglowcolor;int
floorglowheight;float
floorplane_a;float
floorplane_b;float
floorplane_c;float
floorplane_d;float
floorterrain;string
fogdensity;int
gravity;float
healthceiling;int
healthceilinggroup;int
healthfloor;int
healthfloorgroup;int
heightceiling;int
heightfloor;int
hidden;bool
id;int
leakiness;int
lightceiling;int
lightceilingabsolute;bool
lightcolor;int
lightfloor;int
lightfloorabsolute;bool
lightlevel;int
moreids;string
noattack;bool
nofallingdamage;bool
norespawn;bool
noskywalls;bool
portal_ceil_blocksound;bool
portal_ceil_disabled;bool
portal_ceil_nopass;bool
portal_ceil_norender;bool
portal_ceil_overlaytype;string
portal_floor_blocksound;bool
portal_floor_disabled;bool
portal_floor_nopass;bool
portal_floor_norender;bool
portal_floor_overlaytype;string
renderstyleceiling;string
renderstylefloor;string
rotationceiling;float
rotationfloor;float
silent;bool
soundsequence;string
special;int
textureceiling;string
texturefloor;string
waterzone;bool
xpanningceiling;float
xpanningfloor;float
xscaleceiling;float
xscalefloor;float
ypanningceiling;float
ypanningfloor;float
yscaleceiling;float
yscalefloor;float
